support,itemsets,length
0.02230802230802231,frozenset({'12 PENCILS SMALL TUBE RED RETROSPOT'}),1
0.02059202059202059,frozenset({'12 PENCILS SMALL TUBE SKULL'}),1
0.020163020163020164,frozenset({'3 HEARTS HANGING DECORATION RUSTIC'}),1
0.020163020163020164,frozenset({'36 FOIL HEART CAKE CASES'}),1
0.03474903474903475,frozenset({'6 RIBBONS RUSTIC CHARM'}),1
0.021879021879021878,frozenset({'60 CAKE CASES VINTAGE CHRISTMAS'}),1
0.03689403689403689,frozenset({'60 TEATIME FAIRY CAKE CASES'}),1
0.043758043758043756,frozenset({'72 SWEETHEART FAIRY CAKE CASES'}),1
0.023166023166023165,frozenset({'AGED GLASS SILVER T-LIGHT HOLDER'}),1
0.05062205062205062,frozenset({'ALARM CLOCK BAKELIKE GREEN'}),1
0.02531102531102531,frozenset({'ALARM CLOCK BAKELIKE IVORY'}),1
0.02445302445302445,frozenset({'ALARM CLOCK BAKELIKE ORANGE'}),1
0.02917202917202917,frozenset({'ALARM CLOCK BAKELIKE PINK'}),1
0.05019305019305019,frozenset({'ALARM CLOCK BAKELIKE RED'}),1
0.04032604032604033,frozenset({'ANTIQUE SILVER TEA GLASS ETCHED'}),1
0.07035607035607036,frozenset({'ASSORTED COLOUR BIRD ORNAMENT'}),1
0.02145002145002145,frozenset({'BAKING MOULD CHOCOLATE CUPCAKES'}),1
0.02531102531102531,frozenset({'BAKING MOULD HEART MILK CHOCOLATE'}),1
0.021879021879021878,frozenset({'BAKING MOULD HEART WHITE CHOCOLATE'}),1
0.022737022737022737,frozenset({'BAKING SET SPACEBOY DESIGN'}),1
0.023595023595023596,frozenset({'BATHROOM METAL SIGN'}),1
0.023166023166023165,frozenset({'BEWARE OF THE CAT METAL SIGN'}),1
0.028314028314028315,frozenset({'BLUE 3 PIECE POLKADOT CUTLERY SET'}),1
0.037752037752037754,frozenset({'CANDLEHOLDER PINK HANGING HEART'}),1
0.02059202059202059,frozenset({'CHARLOTTE BAG PINK POLKADOT'}),1
0.023166023166023165,frozenset({'CHARLOTTE BAG SUKI DESIGN'}),1
0.03689403689403689,frozenset({'CHICK GREY HOT WATER BOTTLE'}),1
0.04804804804804805,frozenset({'CHILLI LIGHTS'}),1
0.06048906048906049,frozenset({'CHOCOLATE HOT WATER BOTTLE'}),1
0.021021021021021023,frozenset({'CHOCOLATE THIS WAY METAL SIGN'}),1
0.041613041613041614,frozenset({'CLOTHES PEGS RETROSPOT PACK 24'}),1
0.041613041613041614,frozenset({'COOK WITH WINE METAL SIGN'}),1
0.030459030459030458,frozenset({'CREAM CUPID HEARTS COAT HANGER'}),1
0.027456027456027456,frozenset({'CREAM HEART CARD HOLDER'}),1
0.028743028743028743,frozenset({'CREAM SWEETHEART MINI CHEST'}),1
0.032175032175032175,frozenset({'DOLLY GIRL LUNCH BOX'}),1
0.023166023166023165,frozenset({'DOORMAT ENGLISH ROSE'}),1
0.021879021879021878,frozenset({'DOORMAT FANCY FONT HOME SWEET HOME'}),1
0.03432003432003432,frozenset({'DOORMAT HEARTS'}),1
0.03131703131703132,frozenset({'DOORMAT NEW ENGLAND'}),1
0.047619047619047616,frozenset({'DOORMAT RED RETROSPOT'}),1
0.02616902616902617,frozenset({'DOORMAT SPOTTY HOME SWEET HOME'}),1
0.03861003861003861,frozenset({'DOORMAT UNION FLAG'}),1
0.020163020163020164,frozenset({'DOORSTOP RETROSPOT HEART'}),1
0.021021021021021023,frozenset({'EDWARDIAN PARASOL NATURAL'}),1
0.030459030459030458,frozenset({'ENGLISH ROSE HOT WATER BOTTLE'}),1
0.042042042042042045,frozenset({'FAWN BLUE HOT WATER BOTTLE'}),1
0.030459030459030458,frozenset({'FELTCRAFT 6 FLOWER FRIENDS'}),1
0.03003003003003003,frozenset({'FELTCRAFT BUTTERFLY HEARTS'}),1
